sep=,
step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,25,1,2.948466312989961,0.0,0.2222222222222222,3.106723892255783,0.0,0.2727272727272727
2,50,2,3.1768152337980187,0.0,0.2222222222222222,,,
3,83,3,2.4429219075475705,0.0,0.3125,,,
4,108,4,3.1889473009078935,0.0,0.3333333333333333,,,
5,141,5,1.9387220508721656,0.0,0.4375,,,
6,166,6,2.542443791250213,0.0,0.3333333333333333,,,
7,191,7,2.520605929649076,0.0,0.4444444444444444,,,
8,216,8,2.847175553028161,0.0,0.4444444444444444,,,
9,241,9,2.874598277405506,0.0,0.4166666666666667,2.1713307666986172,0.0,0.4444444444444444
10,266,10,2.870175289635857,0.0,0.2,,,
11,291,11,2.114885885284554,0.0,0.3333333333333333,,,
12,316,12,2.1748433199718904,0.0,0.2727272727272727,,,
13,341,13,1.886277661000592,0.0,0.2222222222222222,,,
14,366,14,1.9031567191778838,0.0,0.4,,,
15,391,15,1.723915529565614,0.0,0.4166666666666667,,,
16,408,16,2.2100901416195846,0.0,0.375,,,
17,441,17,1.8132519758211856,0.0,0.3333333333333333,1.3797887015872403,0.0,0.5
18,466,18,1.6539408378268123,0.0,0.4444444444444444,,,
19,491,19,1.9287412947404665,0.0,0.3333333333333333,,,
20,516,20,1.2078566601938414,0.0,0.36363636363636365,,,
21,549,21,1.1818376436436666,0.0,0.25,,,
22,574,22,0.7870920826137686,0.0,0.6666666666666666,,,
23,599,23,1.1564534799389852,0.0,0.4,,,
24,624,24,0.7383164229736818,0.0,0.6666666666666666,,,
25,649,25,0.7743018179293722,0.0,0.6666666666666666,0.9079700896306895,0.0,0.6666666666666666
26,674,26,0.6251484195055672,0.0,0.7777777777777778,,,
27,699,27,0.48289515127039817,0.0,0.6666666666666666,,,
28,724,28,0.8423044818538861,0.0,0.5454545454545454,,,
29,749,29,0.15154169631501038,0.0,0.875,,,
30,774,30,0.4847242715070024,0.0,0.8,,,
31,799,31,0.2224698792103057,0.0,0.8888888888888888,,,
32,824,32,0.8250103575183312,0.0,0.6,,,
33,849,33,0.09410155067113615,1.0,1.0,0.2511167642788011,0.0,0.875
34,874,34,0.28437201338878365,0.0,0.875,,,
35,899,35,0.06192363898716091,1.0,1.0,,,
36,924,36,0.0978276811637079,1.0,1.0,,,
37,949,37,0.05844345431391654,1.0,1.0,,,
38,982,38,0.43518818061325876,0.0,0.6666666666666666,,,
39,999,39,0.6690800225127169,0.0,0.7142857142857143,,,
40,1024,40,0.45628716965526106,0.0,0.7777777777777778,,,
41,1049,41,0.10280227134651795,0.0,0.8888888888888888,0.10014176989216746,1.0,1.0
42,1074,42,0.8147399966727,0.0,0.7272727272727273,,,
43,1107,43,0.7377964473744214,0.0,0.6923076923076923,,,
44,1132,44,0.13329350533812734,1.0,1.0,,,
45,1157,45,0.3268349400246128,0.0,0.8,,,
46,1182,46,0.3194923923172367,0.0,0.7,,,
47,1207,47,0.26394461533724095,0.0,0.8,,,
48,1240,48,1.1055345445756393,0.0,0.5,,,
49,1273,49,0.7100259302085032,0.0,0.5625,0.1295559950301928,1.0,1.0
50,1298,50,0.08104899019303653,1.0,1.0,,,
51,1323,51,0.7197236797328515,0.0,0.6666666666666666,,,
52,1348,52,0.06754492386059913,1.0,1.0,,,
53,1373,53,0.37673875681095514,0.0,0.7,,,
54,1398,54,0.2960944057406353,0.0,0.8,,,
55,1423,55,0.5357043545695827,0.0,0.7272727272727273,,,
56,1448,56,0.21332691960366595,0.0,0.9,,,
57,1473,57,0.6625108833915996,0.0,0.7272727272727273,0.12785446233358927,0.0,0.7777777777777778
58,1498,58,0.48982575637569725,0.0,0.8181818181818182,,,
59,1523,59,0.6259098098310643,0.0,0.9,,,
60,1548,60,0.34731048703368284,0.0,0.8181818181818182,,,
61,1573,61,0.08728074952314879,0.0,0.8888888888888888,,,
62,1598,62,0.26861903204621435,0.0,0.7,,,
63,1623,63,0.4479005289054476,0.0,0.6666666666666666,,,
64,1648,64,0.114039144494418,0.0,0.7777777777777778,,,
65,1673,65,0.08093638122207872,1.0,1.0,0.3220527588123029,0.0,0.8
66,1698,66,0.09495976532649365,0.0,0.8888888888888888,,,
67,1723,67,0.052220864252619015,1.0,1.0,,,
68,1748,68,0.46846380632821816,0.0,0.6666666666666666,,,
69,1773,69,0.12893709224600267,0.0,0.9,,,
70,1798,70,0.10077983190494705,0.0,0.8888888888888888,,,
71,1815,71,0.15289065645974914,0.0,0.875,,,
72,1840,72,0.06296298219999395,0.0,0.8888888888888888,,,
73,1865,73,0.0651495008971445,1.0,1.0,0.5905319285949736,0.0,0.6923076923076923
74,1890,74,0.381052623009388,0.0,0.8888888888888888,,,
75,1915,75,0.16950468366073135,0.0,0.8888888888888888,,,
76,1940,76,0.41243065880854074,0.0,0.7777777777777778,,,
77,1965,77,0.028808023627643706,1.0,1.0,,,
78,1990,78,0.16620168386643247,0.0,0.8888888888888888,,,
79,2015,79,0.04571260230251027,1.0,1.0,,,
80,2040,80,0.3354007187224306,0.0,0.9090909090909091,,,
81,2065,81,0.14549368447986125,0.0,0.9090909090909091,0.3442109253890764,0.0,0.7
82,2090,82,0.17249330098828067,0.0,0.875,,,
83,2115,83,0.1806515343345624,0.0,0.9090909090909091,,,
84,2140,84,0.2587933676060614,0.0,0.8888888888888888,,,
85,2165,85,0.03017723795980904,1.0,1.0,,,
86,2190,86,0.2648662867748256,0.0,0.9166666666666666,,,
87,2215,87,0.42035827344084586,0.0,0.8,,,
88,2240,88,0.038261905423545,1.0,1.0,,,
89,2265,89,0.30186097088409947,0.0,0.8333333333333334,0.8946836098934001,0.0,0.6666666666666666
90,2290,90,0.12560846848626778,0.0,0.8,,,
91,2315,91,0.7192557757222252,0.0,0.7,,,
92,2340,92,0.05875484143356213,1.0,1.0,,,
93,2357,93,0.026280317790970002,1.0,1.0,,,
94,2382,94,0.09868987633659343,1.0,1.0,,,
95,2407,95,0.5861175195514716,0.0,0.6666666666666666,,,
96,2432,96,0.14689700197905647,0.0,0.7777777777777778,,,
97,2457,97,0.1635458311153646,0.0,0.8888888888888888,0.055722166438563356,1.0,1.0
98,2482,98,0.026005920080427434,1.0,1.0,,,
99,2507,99,0.2491502187762914,0.0,0.9166666666666666,,,
100,2532,100,0.13037356449274132,0.0,0.9166666666666666,,,
101,2557,101,0.06695267250757145,1.0,1.0,,,
102,2582,102,0.10634523355287456,0.0,0.9090909090909091,,,
103,2607,103,0.07013720286188799,1.0,1.0,,,
104,2640,104,0.4704242976426394,0.0,0.6875,,,
105,2673,105,0.42239844961606654,0.0,0.75,0.022893424133527938,1.0,1.0
106,2698,106,0.5135691938492208,0.0,0.8,,,
107,2723,107,0.03044897281705744,1.0,1.0,,,
108,2748,108,0.04107134165022823,1.0,1.0,,,
109,2773,109,0.06236907240884951,1.0,1.0,,,
110,2798,110,0.022336821499150873,1.0,1.0,,,
111,2823,111,0.06035775573070471,1.0,1.0,,,
112,2848,112,0.02863829695055756,1.0,1.0,,,
113,2873,113,0.052705657683169795,1.0,1.0,0.026346528702001704,1.0,1.0
114,2898,114,0.021291161696344714,1.0,1.0,,,
115,2923,115,0.05559232949812819,1.0,1.0,,,
116,2948,116,0.03987139623433298,1.0,1.0,,,
117,2973,117,0.04209977835522295,1.0,1.0,,,
118,2998,118,0.12010546080368839,0.0,0.8888888888888888,,,
119,3023,119,0.9017117208580505,0.0,0.6666666666666666,,,
120,3056,120,0.5001483082568803,0.0,0.8125,,,
121,3081,121,0.06639654470482582,1.0,1.0,0.10228089409584451,0.0,0.8888888888888888
122,3106,122,0.15145798029222837,0.0,0.9,,,
123,3131,123,0.035031123501045536,1.0,1.0,,,
124,3156,124,0.05152619924607278,1.0,1.0,,,
125,3181,125,0.03341435220183484,1.0,1.0,,,
126,3206,126,0.03382361557093645,1.0,1.0,,,
127,3231,127,0.18331305340856488,0.0,0.8,,,
128,3264,128,0.8614679397576219,0.0,0.6666666666666666,,,
129,3289,129,0.2854383853301624,0.0,0.7272727272727273,0.6199592004386705,0.0,0.625
130,3314,130,0.02923076244012312,1.0,1.0,,,
131,3339,131,0.022790670769266698,1.0,1.0,,,
132,3364,132,0.04584898569170643,1.0,1.0,,,
133,3389,133,0.03116920262368088,1.0,1.0,,,
134,3414,134,0.02149730771502012,1.0,1.0,,,
135,3447,135,0.5753518754389734,0.0,0.7692307692307693,,,
136,3472,136,0.3730498360361374,0.0,0.8,,,
